   text	   data	    bss	    dec	    hex	filename
   2176	   1048	      0	   3224	    c98	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/rx51_battery.ko
   4123	   1056	      0	   5179	   143b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/da9030_battery.ko
   3454	   1044	      0	   4498	   1192	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/da9150-fg.ko
   1480	   1016	      0	   2496	    9c0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/axp20x_usb_power.ko
   5155	   1388	      9	   6552	   1998	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/ds2760_battery.ko
   4157	   1116	      0	   5273	   1499	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/lp8727_charger.ko
   8167	   1404	      0	   9571	   2563	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/smb347-charger.ko
   3596	    980	      0	   4576	   11e0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/max1721x_battery.ko
  13068	   3384	    336	  16788	   4194	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/bq24190_charger.ko
   5003	   1256	      0	   6259	   1873	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/ds2781_battery.ko
   4203	   1200	      0	   5403	   151b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/wm8350_power.ko
   1506	   1028	      0	   2534	    9e6	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/max8997_charger.ko
   1896	   1060	      0	   2956	    b8c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/axp20x_ac_power.ko
   5252	   1172	      0	   6424	   1918	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/da9052-battery.ko
   3873	   1168	      0	   5041	   13b1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/da9150-charger.ko
   4780	   1724	    408	   6912	   1b00	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/pda_power.ko
   5467	   1548	      0	   7015	   1b67	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/max77693_charger.ko
   2047	   1264	      0	   3311	    cef	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/max8998_charger.ko
   4129	   1188	      0	   5317	   14c5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/power/supply/max8903_charger.ko
